price,area,Loại BĐS:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng tắm:,Số tầng:,Vị trí:,Hướng cửa chính:,Đường/hẻm vào rộng:,Loại đường:,Loại BDS:,Pháp lý:
15 tỷ,69m²,"Nhà riêng, nhà phố",4.8m,14.5m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
11 tỷ,120m²,"Nhà riêng, nhà phố",4.5m,26m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
14 tỷ,138m²,"Nhà riêng, nhà phố",5m,28m,,,1,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
55 tỷ,117m²,"Nhà riêng, nhà phố",11m,11m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
7 tỷ,150m²,"Nhà riêng, nhà phố",5m,30m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
23 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,4,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
21 tỷ,80m²,"Nhà riêng, nhà phố",8m,10m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
19.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
21 tỷ,80m²,"Nhà riêng, nhà phố",8m,10m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
14 tỷ,83m²,"Nhà riêng, nhà phố",5m,16.5m,,,7,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
13.5 tỷ,87m²,"Nhà riêng, nhà phố",4.1m,21m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
14 tỷ,94m²,"Nhà riêng, nhà phố",5m,18.8m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
14.5 tỷ,161m²,"Nhà riêng, nhà phố",6.55m,25m,,,1,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
27.5 tỷ,212m²,"Nhà riêng, nhà phố",10.2m,21m,,,5,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
15 tỷ,69m²,"Nhà riêng, nhà phố",4.8m,14.5m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
34 tỷ,140m²,"Nhà riêng, nhà phố",7m,20m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
19 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
8.7 tỷ,115m²,"Nhà riêng, nhà phố",5m,23m,,,2,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
19 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,48m²,"Nhà riêng, nhà phố",6.2m,8m,,,5,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
11 tỷ,53m²,"Nhà riêng, nhà phố",5.3m,11m,,,5,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
3.85 tỷ,50m²,"Nhà riêng, nhà phố",3.5m,15m,,,3,Đường chính,Nam,5m,Đường nhựa,,Có sổ hồng
14 tỷ,118m²,"Nhà riêng, nhà phố",5m,22.6m,,,4,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
6.8 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Đông,6m,Đường nhựa,,Có sổ đỏ
22.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,5,Đường chính,Đông,30m,Đường nhựa,,Có sổ đỏ
8.5 tỷ,60m²,"Nhà riêng, nhà phố",5.8m,11m,,,2,Đường chính,Tây,15m,Đường nhựa,,Có sổ hồng
10.5 tỷ,100m²,"Nhà riêng, nhà phố",6.5m,15.2m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
44 tỷ,180m²,"Nhà riêng, nhà phố",10m,18m,,,6,Đường chính,Đông,8m,Đường nhựa,,Có sổ đỏ
6.2 tỷ,125m²,"Nhà riêng, nhà phố",4.9m,26m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
4.9 tỷ,62m²,"Nhà riêng, nhà phố",3.5m,18m,,,1,Đường chính,Tây,8m,Đường nhựa,,Có sổ đỏ
19 tỷ,131m²,"Nhà riêng, nhà phố",5m,26.2m,,,8,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
9.5 tỷ,93m²,"Nhà riêng, nhà phố",,,,,2,Đường chính,Nam,5m,Đường nhựa,,Có sổ hồng
14 tỷ,124m²,"Nhà riêng, nhà phố",5m,24.7m,,,3,Đường chính,Đông Nam,7m,Đường nhựa,,Có sổ hồng
5.65 tỷ,68m²,"Nhà riêng, nhà phố",6m,11m,,,3,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
25.5 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,3,Đường chính,Đông Nam,10m,Đường nhựa,,Có sổ hồng
5.1 tỷ,94m²,"Nhà riêng, nhà phố",5m,19m,,,1,Đường chính,Đông Nam,8m,Đường nhựa,,Có sổ đỏ
7.8 tỷ,95m²,"Nhà riêng, nhà phố",5m,19m,,,3,Đường chính,Đông Bắc,11m,Đường nhựa,,Có sổ đỏ
7.6 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,4,,3,,Đông,5.5m,Đường nhựa,,
3.8 tỷ,81m²,"Nhà riêng, nhà phố",5.5m,15m,,,1,Đường chính,Nam,1m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,106m²,"Nhà riêng, nhà phố",4.5m,23m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
24.9 tỷ,162m²,"Nhà riêng, nhà phố",6.07m,26m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
21 tỷ,281m²,"Nhà riêng, nhà phố",19m,15m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
13.8 tỷ,138m²,"Nhà riêng, nhà phố",6m,18m,,,2,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
16 tỷ,90m²,"Nhà riêng, nhà phố",8m,12m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
9.8 tỷ,120m²,"Nhà riêng, nhà phố",5m,24m,,,5,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
17 tỷ,297m²,"Nhà riêng, nhà phố",7.8m,39m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
9 tỷ,117m²,"Nhà riêng, nhà phố",7m,17.5m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
28.4 tỷ,204m²,"Nhà riêng, nhà phố",7.2m,20.6m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
17.5 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
19 tỷ,112m²,"Nhà riêng, nhà phố",8m,14m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18 tỷ,120m²,"Nhà riêng, nhà phố",6.5m,20m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
25 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,93m²,"Nhà riêng, nhà phố",4.5m,20.6m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
31.5 tỷ,245m²,"Nhà riêng, nhà phố",8m,24m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",4.3m,23m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
33 tỷ,126m²,"Nhà riêng, nhà phố",7m,18m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
25 tỷ,103m²,"Nhà riêng, nhà phố",4.5m,23m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,905m²,"Nhà riêng, nhà phố",5m,18.5m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
22 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
12 tỷ,87m²,"Nhà riêng, nhà phố",4.5m,19m,,,4,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
130 tỷ,270m²,"Nhà riêng, nhà phố",15m,18m,,,15,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
18 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,7,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
60 tỷ,162m²,"Nhà riêng, nhà phố",9m,18m,,,10,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
25 tỷ,103m²,"Nhà riêng, nhà phố",4.5m,23m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,126m²,"Nhà riêng, nhà phố",6m,21m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
10.9 tỷ,81m²,"Nhà riêng, nhà phố",5m,26m,,,5,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
60 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,11,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
14 tỷ,140m²,"Nhà riêng, nhà phố",5m,28m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
850 tỷ,2000m²,"Nhà riêng, nhà phố",60m,35m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
27 tỷ,240m²,"Nhà riêng, nhà phố",12m,20m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
14.5 tỷ,107m²,"Nhà riêng, nhà phố",4.85m,23m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
39 tỷ,837m²,"Nhà riêng, nhà phố",33m,25m,,,,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
25 tỷ,164m²,"Nhà riêng, nhà phố",8m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
1.65 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,2,Đường chính,Nam,1m,Đường nhựa,,Có sổ hồng
12.79 tỷ,60m²,"Nhà riêng, nhà phố",4.2m,13.8m,,,4,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
1.65 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,2,Đường chính,Nam,1m,Đường nhựa,,Có sổ hồng
25.5 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,3,Đường chính,Đông Nam,10m,Đường nhựa,,Có sổ hồng
25.5 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,3,Đường chính,Đông Nam,10m,Đường nhựa,,Có sổ hồng
17.95 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
10 tỷ,60m²,"Nhà riêng, nhà phố",5m,15m,,,3,Đường chính,Tây Nam,10m,Đường nhựa,,Có sổ hồng
4.89 tỷ,61m²,"Nhà riêng, nhà phố",3.4m,18.5m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
12.79 tỷ,60m²,"Nhà riêng, nhà phố",4.2m,13.8m,,,4,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
5.1 tỷ,80m²,"Nhà riêng, nhà phố",5m,16m,,,3,Đường chính,Đông Nam,6m,Đường nhựa,,Có sổ đỏ
3.8 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
3750 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,3,3,3,Trong hẻm,Đông Nam,5m,Đường bê tông,,
10 tỷ,60m²,"Nhà riêng, nhà phố",5m,15m,,,3,Đường chính,Tây Nam,10m,Đường nhựa,,Có sổ hồng
10 tỷ,60m²,"Nhà riêng, nhà phố",5m,15m,,,3,Đường chính,Tây Nam,10m,Đường nhựa,,Có sổ hồng
16.99 tỷ,195m²,"Nhà riêng, nhà phố",6.2m,33m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
4.7 tỷ,75m²,"Nhà riêng, nhà phố",5m,15m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
4.2 tỷ,82m²,"Nhà riêng, nhà phố",5m,16m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
14.5 tỷ,107m²,"Nhà riêng, nhà phố",4.85m,23m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
60 tỷ,162m²,"Nhà riêng, nhà phố",9m,18m,,,10,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
5.6 tỷ,68m²,"Nhà riêng, nhà phố",11m,6m,4,4,3,Đường chính,Đông,7.5m,Đường nhựa,,
33 tỷ,126m²,"Nhà riêng, nhà phố",7m,18m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
25 tỷ,103m²,"Nhà riêng, nhà phố",4.5m,23m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
25 tỷ,103m²,"Nhà riêng, nhà phố",4.5m,23m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
25 tỷ,103m²,"Nhà riêng, nhà phố",4.5m,23m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,7,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
130 tỷ,270m²,"Nhà riêng, nhà phố",15m,18m,,,15,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
24.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,126m²,"Nhà riêng, nhà phố",6m,21m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
36 tỷ,233m²,"Nhà riêng, nhà phố",13m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
60 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,11,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
10.9 tỷ,81m²,"Nhà riêng, nhà phố",5m,26m,,,5,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
14 tỷ,140m²,"Nhà riêng, nhà phố",5m,28m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
22 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
25 tỷ,164m²,"Nhà riêng, nhà phố",8m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
24.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
850 tỷ,2000m²,"Nhà riêng, nhà phố",60m,35m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
27 tỷ,240m²,"Nhà riêng, nhà phố",12m,20m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
32 tỷ,242m²,"Nhà riêng, nhà phố",13m,20m,,,1,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
36 tỷ,233m²,"Nhà riêng, nhà phố",13m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
19 tỷ,135m²,"Nhà riêng, nhà phố",5m,27m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
25 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
5.6 tỷ,75m²,"Nhà riêng, nhà phố",5m,15m,5,,3,Đường chính,Đông,5.5m,Đường nhựa,,
9.3 tỷ,150m²,"Nhà riêng, nhà phố",6m,25m,,,1,Đường chính,Tây,6m,Đường nhựa,,Có sổ đỏ
8.1 tỷ,60m²,"Nhà riêng, nhà phố",5.8m,11m,,,2,Đường chính,Tây,11m,Đường nhựa,,Có sổ đỏ
10 tỷ,70m²,"Nhà riêng, nhà phố",5m,14m,8,,4,Đường chính,Đông,5.5m,Đường nhựa,,
17.8 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,5,,3,Đường chính,Tây,7.5m,Đường nhựa,,
2.25 tỷ,30m²,"Nhà riêng, nhà phố",4m,8m,2,2,,Trong hẻm,Tây,2m,Đường bê tông,,
6.35 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
6.35 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
5.4 tỷ,74m²,"Nhà riêng, nhà phố",5m,15m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
3.85 tỷ,50m²,"Nhà riêng, nhà phố",3.5m,15m,,,3,Đường chính,Nam,5m,Đường nhựa,,Có sổ hồng
3.35 tỷ,72m²,"Nhà riêng, nhà phố",4.5m,16m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
7 tỷ,72.4m²,"Nhà riêng, nhà phố",7.59m,8.4m,5,3,3,Đường chính,Đông Nam,15m,Đường nhựa,,
17.95 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
8.1 tỷ,108m²,"Nhà riêng, nhà phố",5.7m,19m,,,4,Đường chính,Đông Nam,6m,Đường nhựa,,Có sổ đỏ
2.65 tỷ,66m²,"Nhà riêng, nhà phố",5m,13.5m,3,2,,,Tây Nam,3m,Đường bê tông,,
1.97 tỷ,44m²,"Nhà riêng, nhà phố",3.3m,12.8m,2,2,2,Trong hẻm,Đông Nam,3m,Đường bê tông,,
23 tỷ,202m²,"Nhà riêng, nhà phố",8.7m,22m,3,2,2,Đường chính,Tây Nam,30m,Đường nhựa,,
10.2 tỷ,70m²,"Nhà riêng, nhà phố",5m,20m,15,,6,,Đông Nam,15m,Đường nhựa,,
3.35 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,3,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
7.7 tỷ,61m²,"Nhà riêng, nhà phố",5m,15m,,,,Đường chính,Đông Nam,8m,Đường nhựa,,Có sổ hồng
3.85 tỷ,68m²,"Nhà riêng, nhà phố",5m,13.5m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
7.9 tỷ,143m²,"Nhà riêng, nhà phố",5m,28.5m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
2.75 tỷ,140m²,"Nhà riêng, nhà phố",7m,20m,,,1,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
123.46 triệu,120m²,"Nhà riêng, nhà phố",6m,20m,5,,4,Đường chính,Bắc,7m,Đường bê tông,,
6.95 tỷ,140m²,"Nhà riêng, nhà phố",4m,35m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
14 tỷ,115m²,"Nhà riêng, nhà phố",,,,,,Đường chính,Nam,1m,Đường nhựa,,Có sổ đỏ
5.49 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
12.9 tỷ,116m²,"Nhà riêng, nhà phố",8m,15m,,,1,Đường chính,Đông Bắc,7m,Đường nhựa,,Có sổ hồng
4 tỷ,66m²,"Nhà riêng, nhà phố",4m,16.5m,,,2,Đường chính,Bắc,6m,Đường nhựa,,Có sổ đỏ
6.8 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Đông,6m,Đường nhựa,,Có sổ đỏ
14.5 tỷ,107m²,"Nhà riêng, nhà phố",4.85m,23m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
14.5 tỷ,107m²,"Nhà riêng, nhà phố",4.85m,23m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
25 tỷ,103m²,"Nhà riêng, nhà phố",4.5m,23m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
7.45 tỷ,92m²,"Nhà riêng, nhà phố",5m,19m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
3.5 tỷ,56m²,"Nhà riêng, nhà phố",4m,16m,,,1,Đường chính,Nam,4m,Đường nhựa,,Có sổ hồng
19 tỷ,200m²,"Nhà riêng, nhà phố",10m,20m,,,2,Đường chính,Tây Nam,7m,Đường nhựa,,Có sổ hồng
12 tỷ,115m²,"Nhà riêng, nhà phố",8m,14.5m,,,1,Đường chính,Bắc,7m,Đường nhựa,,Có sổ hồng
3.65 tỷ,56m²,"Nhà riêng, nhà phố",3.4m,16m,4,3,3,Trong hẻm,Nam,3m,Đường bê tông,,
6.3 tỷ,110m²,"Nhà riêng, nhà phố",,,,,2,Đường chính,Đông Nam,5m,Đường nhựa,,Có sổ đỏ
2.75 tỷ,140m²,"Nhà riêng, nhà phố",7m,20m,,,1,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
5.5 tỷ,68m²,"Nhà riêng, nhà phố",3.2m,21.8m,,,2,Đường chính,Nam,10m,Đường nhựa,,Có sổ hồng
7 tỷ,54m²,"Nhà riêng, nhà phố",5.8m,9.4m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
2.75 tỷ,52m²,"Nhà riêng, nhà phố",3.7m,14m,3,3,2,Trong hẻm,Đông Nam,3m,Đường bê tông,,
5.29 tỷ,53m²,"Nhà riêng, nhà phố",3.67m,13.7m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
4.2 tỷ,82m²,"Nhà riêng, nhà phố",5m,16m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
5.7 tỷ,87m²,"Nhà riêng, nhà phố",4.8m,18m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
5.29 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
5.29 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
4.6 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
20.5 tỷ,132m²,"Nhà riêng, nhà phố",5m,26m,,,8,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
5.7 tỷ,87m²,"Nhà riêng, nhà phố",4.8m,18m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
2.85 tỷ,60m²,"Nhà riêng, nhà phố",5m,12m,,,1,Đường chính,Nam,5m,Đường nhựa,,Có sổ hồng
2.85 tỷ,48m²,"Nhà riêng, nhà phố",4m,12m,,,2,Đường chính,Nam,3.5m,Đường nhựa,,Có sổ hồng
5.7 tỷ,87m²,"Nhà riêng, nhà phố",4.8m,18m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
5.5 tỷ,93m²,"Nhà riêng, nhà phố",4.5m,21m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
4.6 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
9.5 tỷ,99m²,"Nhà riêng, nhà phố",5m,20m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
6.95 tỷ,56m²,"Nhà riêng, nhà phố",3.9m,14.9m,,,3,Đường chính,Nam,1m,Đường nhựa,,Có sổ đỏ
3.9 tỷ,52m²,"Nhà riêng, nhà phố",0.4m,11m,,,3,Đường chính,Nam,1m,Đường nhựa,,Có sổ đỏ
4.6 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
7.85 tỷ,100m²,"Nhà riêng, nhà phố",4.6m,22m,,,3,Đường chính,Nam,1m,Đường nhựa,,Có sổ đỏ
2.95 tỷ,54m²,"Nhà riêng, nhà phố",4m,13m,,,2,Đường chính,Nam,4.5m,Đường nhựa,,Có sổ hồng
5.1 tỷ,47m²,"Nhà riêng, nhà phố",,,,,3,Đường chính,Đông Bắc,5m,Đường nhựa,,Có sổ đỏ
4 tỷ,64m²,"Nhà riêng, nhà phố",,,,,2,Đường chính,Đông,5m,Đường nhựa,,Có sổ đỏ
3.19 tỷ,80m²,"Nhà riêng, nhà phố",6m,14m,,,,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
5.95 tỷ,85m²,"Nhà riêng, nhà phố",4.6m,18m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
6.1 tỷ,81m²,"Nhà riêng, nhà phố",4.5m,18m,,,4,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
7.8 tỷ,117m²,"Nhà riêng, nhà phố",6m,19.3m,,,3,Đường chính,Nam,35m,Đường nhựa,,Có sổ hồng
6.7 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,4,Đường chính,Đông Bắc,10m,Đường nhựa,,Có sổ hồng
12 tỷ,67m²,"Nhà riêng, nhà phố",,,,,3,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
850 tỷ,2000m²,"Nhà riêng, nhà phố",60m,35m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
34 tỷ,140m²,"Nhà riêng, nhà phố",7m,20m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
