Address,Prices,Area,toFace,type,certificate,width,length,floors
" Đường Nguyễn Du, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng"," 3,2 tỷ ", 55 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,8m","11,5m",2
" Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 6,68 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",22m,3
" Đường Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 3,5 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,3m",14m,2
" Đường Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 3,3 tỷ ", 105 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,22m,1
" Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 3,25 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 2,9 tỷ ", 115 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,"16,5m",2
" Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng", 3 tỷ , 80 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2
" Đường Nguyễn Thiện Kế, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 2,395 tỷ ", 55 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,11m,2
" Đường Hoàng Sĩ Khải, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 3,39 tỷ ", 76 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,19m,2
" Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 3 tỷ , 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2
" Đường Đào Tấn, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng", 3 tỷ , 65 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,16m,2
" Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 2,5 tỷ ", 52 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,"10,5m",2
" Đường Phan Kế Bính, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng"," 2,8 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,2
" Đường Phan Tứ, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 8,8 tỷ ", 450 m2,_,Nhà mặt tiền,---,22m,5m,5
" Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 1,85 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,1
" Đường Hoàng Đạo Thành, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 32,5 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,20m,1
" Đường Trần Văn Đán, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 4 tỷ , 85 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,18m,1
" Đường Mai Lão Bạng, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 3,7 tỷ ", 55 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,14m,4
" Đường Yên Khê, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 3,8 tỷ ", 45 m2,_,Nhà mặt tiền,---,---,---,3
" Đường K20, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 10,3 tỷ ", 900 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,27m,5
" Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 3,65 tỷ ", 102 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,7m,3
" Đường Trần Quang Diệu, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 4,8 tỷ ", 55 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,5m",10m,3
" Đường Điện Biên Phủ, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 4,2 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,12m,3
" Đường An Nhơn 3, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 5,85 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,15m,4
" Đường Lê Đình Lý, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 3,6 tỷ ", 156 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,3m,17m,3
" Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 6,7 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,20m,4
" Đường Nguyễn Tạo, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng", 6 tỷ , 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Trần Tấn Mới, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng", 11 tỷ , 90 m2,_,Nhà mặt tiền,---,---,---,4
" Đường Nguyễn Khánh Toàn, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 5,9 tỷ ", 90 m2,_,Nhà mặt tiền,---,"4,5m",---,---
" Đường Nguyễn Khánh Toàn, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 5,9 tỷ ", 90 m2,_,Nhà mặt tiền,---,"4,5m",---,---
" Đường Ngô Thế Vinh, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 7,5 tỷ ", 100 m2,_,Nhà mặt tiền,---,5m,---,3
" Đường Thanh Lương 18, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 5 tỷ , 100 m2,_,Nhà mặt tiền,---,5m,---,3
" Đường Hồ Trung Lượng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 5,7 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Thái Phiên, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng"," 11,9 tỷ ", 40 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,6m",---,3
" Đường Hàn Thuyên, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 7,8 tỷ ", 108 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,3
" Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 16 tỷ , 97 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,6m",---,4
" Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 13,5 tỷ ", 87 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 6,9 tỷ ", 30 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,2m",---,4
" Đường Thanh Long, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 7,3 tỷ ", 70 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,5
" Đường Lê Quảng Chí, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 7,7 tỷ ", 100 m2,_,Nhà mặt tiền,---,5m,---,3
" Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 13,5 tỷ ", 87 m2,_,Nhà mặt tiền,---,5m,---,3
" Đường Phan Trọng Tuệ, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 5,8 tỷ ", 70 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,4
" Đường Lê Nổ, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 7 tỷ , 100 m2,Bắc,Nhà mặt tiền,---,5m,---,---
" Đường Hồ Nguyên Trừng, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 7 tỷ , 90 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,3
" Đường Hải Hồ, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 10,9 tỷ ", 113 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,4m",---,3
" Đường Trần Tống, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"," 4,5 tỷ ", 52 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,8m",---,2
" Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 13,3 tỷ ", 130 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Trưng Nữ Vương, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng"," 12,5 tỷ ", 83 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,6m",---,3
" Đường Thanh Lương 18, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,8 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Vũ Đình Liên, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 5 tỷ , 100 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,2
" Đường Nguyễn Hoàng, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng", 10 tỷ , 62 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,6m",---,3
" Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"," 13,5 tỷ ", 90 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,6m",---,2
" Đường Điện Biên Phủ, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 6,5 tỷ ", 30 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,2m",---,4
" Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 12 tỷ , 90 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",20m,7
" Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 17,5 tỷ ", 125 m2,Bắc,Nhà mặt tiền,---,5m,---,4
" Đường Ông Ích Khiêm, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng"," 11,5 tỷ ", 67 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,4m",---,3
" Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 6,5 tỷ ", 50 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,4m",---,3
" Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 3,5 tỷ ", 34 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,3m",---,3
" Đường Nguyễn Hữu Thọ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 16,5 tỷ ", 125 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,4
" Đường Bình An 2, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 4,4 tỷ ", 61 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,3
" Đường Bùi Thiện Ngộ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,75 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 5,7 tỷ ", 103 m2,Tây,Nhà mặt tiền,---,4m,---,3
" Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 12,5 tỷ ", 100 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Nguyễn Khang, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 7,2 tỷ ", 85 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Nguyễn Quang Bích, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 7,2 tỷ ", 98 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Mẹ Nhu, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 3,5 tỷ ", 125 m2,_,Nhà trong hẻm,---,"5,2m",---,2
" Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 3 tỷ , 60 m2,Tây Bắc,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,15m,---
" Đường Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,95 tỷ ", 164 m2,Đông Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,---,---
" Đường Chu Mạnh Trinh, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,65 tỷ ", 75 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,2
" Đường Phạm Phú Tiết, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 7 tỷ , 97 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,2
" Đường Nguyễn Thành Ý, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 7,7 tỷ ", 108 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,4
" Đường Trần Tấn Mới, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 10,5 tỷ ", 90 m2,Nam,Nhà mặt tiền,---,5m,---,4
" Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 9,8 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,7
" Đường Huỳnh Tấn Phát, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 14 tỷ , 102 m2,_,Nhà mặt tiền,---,5m,---,4
" Đường Nguyễn Xuân Nhĩ, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 6,8 tỷ ", 95 m2,_,Nhà mặt tiền,---,5m,---,3
" Đường Tiên Sơn 5, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 3,95 tỷ ", 64 m2,_,Nhà mặt tiền,---,4m,---,---
" Đường Nguyễn Xí, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 5,8 tỷ ", 100 m2,_,Nhà mặt tiền,---,---,---,2
" Đường Phạm Phú Tiết, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 7,95 tỷ ", 97 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,4
" Đường Xuân Thủy, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 7 tỷ , 100 m2,_,Nhà mặt tiền,---,5m,20m,3
" Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng", 22 tỷ , 115 m2,_,Nhà mặt tiền,---,---,---,3
" Đường Hồ Nguyên Trừng, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 7,3 tỷ ", 90 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Tạ Mỹ Duật, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 6,95 tỷ ", 75 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,3
" Đường Lê Văn Hiến, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 13,5 tỷ ", 94 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,---,4
" Đường Huỳnh Ngọc Huệ, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 7,2 tỷ ", 140 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường An Nhơn 10, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 4,8 tỷ ", 63 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,2
" Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng", 27 tỷ , 100 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,8
" Đường Nguyễn Khoái, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 9,8 tỷ ", 81 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,3
" Đường Tôn Đức Thắng, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng"," 16,4 tỷ ", 170 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,2m",---,3
" Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 11,9 tỷ ", 70 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,3
" Đường An Nhơn 10, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 14 tỷ , 124 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,9m,---,4
" Đường Trịnh Công Sơn, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 13,5 tỷ ", 78 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,4
" Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 13 tỷ , 70 m2,Bắc,Nhà mặt tiền,---,5m,---,2
" Đường Hàn Mạc Tử, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 4,6 tỷ ", 64 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,---,3
" Đường Trịnh Công Sơn, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 13,3 tỷ ", 79 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,4
" Đường Trần Xuân Lê, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 5,6 tỷ ", 84 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,2
" Đường Phạm Vấn, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 9,45 tỷ ", 98 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Đoàn Nhữ Hài, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 5,9 tỷ ", 80 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,---,3
" Đường Phan Liêm, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 17,9 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,7
" Đường Chính Hữu, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng", 11 tỷ , 74 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,4
" Đường An Thượng 32, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 11 tỷ , 81 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,3
" Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 5,5 tỷ ", 71 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,3
" Đường Lê Duẩn, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng", 35 tỷ , 114 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,---,3
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 8,3 tỷ ", 78 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,---,5
" Đường An Nhơn 10, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 9,5 tỷ ", 61 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,4
" Đường Đỗ Bá, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 12,95 tỷ ", 70 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,2
" Đường Phạm Vấn, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 9,5 tỷ ", 98 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Trần Huấn, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,85 tỷ ", 47 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,3
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 8,75 tỷ ", 121 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,2
" Đường An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,2 tỷ ", 56 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,---,1
" Đường Nguyễn Khang, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 7,2 tỷ ", 85 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,4
" Đường Hàn Mạc Tử, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 4,65 tỷ ", 64 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,---,3
" Đường Sơn Thủy 3, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,8 tỷ ", 125 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,2
" Đường Phạm Phú Tiết, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,95 tỷ ", 107 m2,Tây,Nhà mặt tiền,---,5m,21m,2
" Đường Phan Triêm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 5 tỷ , 100 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Đinh Gia Trinh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,9 tỷ ", 107 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"21,5m",2
" Đường Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 3,4 tỷ ", 105 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,21m,1
" Đường Cao Bá Quát, Quận Sơn Trà, Đà Nẵng"," 11,45 tỷ ", 120 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,5m",17m,3
" Đường Bắc Đẩu, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 2,48 tỷ ", 48 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,14m,2
" Đường Tiên Sơn 5, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,9 tỷ ", 64 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,16m,2
" Đường Lê Đình Thám, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 13 tỷ , 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,4
" Đường Nguyễn Nhàn, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng"," 2,4 tỷ ", 75 m2,_,Nhà trong hẻm,---,---,---,2
" Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 17 tỷ , 127 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,11m,14m,7
" Đường Huỳnh Lý, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 4,7 tỷ ", 56 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,14m,3
" Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng", 71 tỷ , 212 m2,_,Nhà mặt tiền,---,---,---,1
" Đường Lê Duẩn, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng"," 4,79 tỷ ", 200 m2,_,Nhà mặt tiền,---,---,---,3
" Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 2,99 tỷ ", 60 m2,_,Nhà trong hẻm,---,---,---,2
" Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 3,95 tỷ ", 60 m2,_,Nhà trong hẻm,---,---,---,3
" 0 Đường Phú Lộc 1, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 5,6 tỷ ", 75 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,3
" 0 Đường Nguyễn Văn Tạo, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 4,6 tỷ ", 86 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",19m,2
" Đường Nguyễn Xuân Hữu, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,9 tỷ ", 72 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,---
" 0 Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"," 4,75 tỷ ", 72 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3
" Đường Lê Huy, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,4 tỷ ", 100 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,---
" 0 Đường Trần Quý Hai, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,55 tỷ ", 70 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,10m,2
" 0 Đường Trương Quang Giao, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 3,45 tỷ ", 62 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,16m,1
" 0 Đường Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,95 tỷ ", 108 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"21,5m",2
" 141 Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,85 tỷ ", 50 m2,Tây Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"3,72m","13,43m",4
