price,Diện tích,Phòng ngủ,Phòng tắm,Giấy tờ pháp lý,Số tầng,Chiều rộng,Chiều dài,Hiện trạng nhà,Năm xây dựng,Vị trí,Trạng thái sử dụng,Đường rộng,Hướng,Kết cấu
4.2 tỷ,60 m²,3,3,Sổ hồng,3,4 m,15 m,Đang ở,,,,,,
18.9 tỷ,160 m²,4,5,Sổ đỏ,4,9 m,17 m,Nhà trống,,,,,,
1.35 tỷ,24 m²,2,1,Sổ hồng,2,3 m,8 m,Nhà trống,,,,,,
3.4 tỷ,51 m²,2,2,Sổ hồng,1,4.5 m,11.5 m,Đang ở,,,,,,
5.3 tỷ,100 m²,4,2,Sổ hồng,2,5 m,20 m,Nhà trống,,,,,,
5.3 tỷ,60 m²,5,5,Sổ hồng,5+,8 m,7.5 m,Đang ở,,,,,,
3.9 tỷ,72 m²,2,2,Sổ đỏ,,6 m,12 m,Đang ở,,,,,,
2.75 tỷ,61 m²,3,3,Sổ đỏ,2,4.3 m,14.2 m,Nhà trống,,,,,,
2.58 tỷ,80 m²,3,2,Sổ đỏ,2,4 m,20 m,Nhà trống,,,,,,
5.8 tỷ,100 m²,4,4,Sổ đỏ,3,5 m,20 m,Nhà trống,,,,,,
2.37 tỷ,33 m²,2,2,Sổ hồng,2,7 m,4.7 m,Đang ở,,,,,,
5.5 tỷ,85 m²,4,3,Sổ hồng,3,5 m,17 m,Nhà trống,,,,,,
1.65 tỷ,31 m²,2,2,Sổ hồng,2,4 m,8 m,Nhà trống,,,,,,
6.49 tỷ,90 m²,4,4,Sổ đỏ,3,5 m,18 m,Đang ở,,,,,,
5.8 tỷ,66 m²,3,2,Sổ hồng,2,4.2 m,16 m,Nhà trống,,,,,,
20 tỷ,92 m²,5,5,Sổ hồng,5+,4.5 m,21 m,Nhà trống,,,,,,
5.15 tỷ,53 m²,2,2,Sổ hồng,2,4.5 m,12 m,Nhà trống,,,,,,
10.7 tỷ,92 m²,5,5,Sổ hồng,5+,4.5 m,21 m,Đang ở,,,,,,
3.3 tỷ,43 m²,3,3,Sổ hồng,4,6 m,7 m,Đang ở,,,,,,
4.2 tỷ,75 m²,3,2,Sổ hồng,2,5 m,14.99 m,Đang ở,2018,Mặt tiền,Đã qua sử dụng,5.5 m,,Nhà cấp 3
5 tỷ,100 m²,2,2,Sổ đỏ,2,5 m,20 m,Đang ở,,,,,,
2.39 tỷ,70 m²,2,2,Sổ hồng,2,4.4 m,14.8 m,Đang ở,,,,,,
19 tỷ,160 m²,4,5,Sổ hồng,4,9 m,17.6 m,Đang ở,,,,,,
14 tỷ,107 m²,5,5,Sổ hồng,3,7.5 m,14.5 m,Nhà trống,,,,,,
16.5 tỷ,130 m²,5,5,Sổ hồng,5+,7 m,18.5 m,Đang ở,,,,,,
9.88 tỷ,65 m²,4,4,Sổ hồng,3,5 m,13 m,Nhà trống,,,,,,
2.5 tỷ,61 m²,2,2,Sổ hồng,1,5 m,12 m,Nhà trống,,,,,,
2.55 tỷ,42 m²,2,2,Sổ hồng,2,3.7 m,12 m,Nhà trống,,,,,,
2.05 tỷ,51 m²,2,2,Sổ hồng,1,4.5 m,11.5 m,Đang ở,,,,,,
1.37 tỷ,30 m²,1,1,Sổ hồng,1,4 m,7.5 m,Nhà trống,,,,,,
3.5 tỷ,75 m²,5,3,Sổ hồng,2,7.5 m,10 m,Nhà trống,,,,,,
3.95 tỷ,61 m²,4,3,Sổ đỏ,3,4.5 m,13.6 m,Nhà trống,,,,,,
27 tỷ,150 m²,5,5,Sổ đỏ,5+,7 m,22 m,Nhà trống,,,,,,
2.75 tỷ,55 m²,3,2,Sổ đỏ,2,4 m,13.7 m,Nhà trống,,,,,,
3.19 tỷ,58 m²,3,2,Sổ hồng,2,4 m,14 m,Đang ở,,,,,,
3.25 tỷ,67 m²,3,3,Sổ đỏ,3,4.5 m,15 m,Nhà trống,,,,,,
12.2 tỷ,110 m²,4,3,Sổ hồng,3,6 m,20 m,Nhà trống,,,,,,
9.88 tỷ,65 m²,4,4,Sổ hồng,3,5 m,13 m,Nhà trống,,,,,,
3.29 tỷ,43 m²,3,2,Sổ đỏ,2,4.5 m,9.6 m,Đang ở,,,,,,
3.19 tỷ,58 m²,3,2,Sổ hồng,2,4 m,14 m,Nhà trống,,,,,,
8 tỷ,56 m²,2,2,Sổ hồng,3,4 m,14.2 m,Đang ở,,,,,,
2.59 tỷ,55 m²,2,1,Sổ hồng,2,5 m,11 m,Nhà trống,,,,,,
2.5 tỷ,61 m²,2,2,Sổ hồng,1,5 m,12 m,Đang ở,,,,,,
2.5 tỷ,60 m²,2,1,Sổ hồng,1,5 m,12 m,Nhà trống,,,,,,
3.6 tỷ,83 m²,3,2,Sổ đỏ,2,5 m,16.5 m,Đang ở,,,,,,
4.2 tỷ,80 m²,3,3,Sổ đỏ,3,6 m,9 m,Đang ở,,,,,,
3.75 tỷ,46 m²,4,4,Sổ đỏ,3,5 m,9.2 m,Nhà trống,,,,,,
2.69 tỷ,98 m²,3,2,Sổ đỏ,2,5 m,19.5 m,Nhà trống,,,,,,
2.35 tỷ,84 m²,2,1,Sổ đỏ,1,5 m,16.8 m,Đang ở,,,,,,
13.2 tỷ,163 m²,4,4,Sổ đỏ,3,7.1 m,22.84 m,Nhà trống,,,,,,
12.2 tỷ,110 m²,4,3,Sổ hồng,3,6 m,20 m,Nhà trống,,,,,,
5.1 tỷ,83 m²,4,4,Sổ hồng,1,5 m,16.5 m,Nhà trống,,,,,,
7.1 tỷ,160 m²,,,Sổ đỏ,2,1 m,1 m,Nhà trống,,,,,,
3.05 tỷ,52 m²,3,2,Sổ đỏ,2,4.1 m,12.5 m,Nhà trống,,,,,,
260 tỷ,270 m²,5,5,Sổ đỏ,5+,15 m,18 m,Đang ở,,,,,,
2.6 tỷ,55 m²,2,1,Sổ hồng,2,5 m,11 m,Đang ở,,,,,,
3.29 tỷ,84 m²,2,3,Sổ hồng,2,4.6 m,18.3 m,Nhà trống,,,,,,
2.75 tỷ,45 m²,2,2,Sổ hồng,2,4 m,11 m,Nhà trống,,,,,,
2.4 tỷ,40 m²,3,2,Sổ hồng,2,4 m,10 m,Nhà trống,,,,,,
1.75 tỷ,31 m²,2,1,Sổ hồng,2,8 m,4 m,Đang ở,,,,,,
5.29 tỷ,100 m²,2,2,Sổ hồng,2,5.5 m,17.5 m,Đang ở,,,,,,
11 tỷ,75 m²,3,3,Sổ hồng,3,4.5 m,16.5 m,Nhà trống,,,,,,
2.45 tỷ,40 m²,3,2,Sổ hồng,2,4 m,10 m,Nhà trống,,,,,,
6.5 tỷ,80 m²,4,3,Sổ hồng,3,4.5 m,17.5 m,Đang ở,,,,,,
5.1 tỷ,83 m²,4,4,Sổ hồng,1,5 m,16.5 m,Đang ở,,,,,,
4 tỷ,55 m²,2,2,Sổ hồng,2,4.4 m,12.5 m,Nhà trống,,,,,,
27 tỷ,143 m²,5,5,Sổ đỏ,5+,7 m,21 m,Đang ở,,,,,,
2.55 tỷ,67 m²,2,1,Sổ hồng,2,6.8 m,10 m,Nhà trống,,,,,,
14 tỷ,124 m²,4,4,Sổ đỏ,3,5 m,24.7 m,Nhà trống,,,,,,
3 tỷ,50 m²,2,2,Sổ hồng,2,4.5 m,11.5 m,Nhà trống,,,,,,
7.3 tỷ,160 m²,1,1,Sổ đỏ,2,1 m,1 m,Nhà trống,,,,,,
3.8 tỷ,50 m²,4,4,Sổ hồng,3,4.1 m,12.8 m,Đang ở,,,,,,
2.28 tỷ,77 m²,3,1,Sổ đỏ,2,5.2 m,14.7 m,Đang ở,,,,,,
5.5 tỷ,100 m²,4,4,Sổ đỏ,3,5 m,20 m,Đang ở,,,,,,
2.09 tỷ,45 m²,2,2,Sổ đỏ,2,4 m,11 m,Đang ở,,,,,,
20.5 tỷ,131 m²,5,5,Sổ đỏ,5+,5 m,26 m,Đang ở,,,,,,
27 tỷ,150 m²,5,5,Sổ đỏ,5+,7.5 m,20 m,Đang ở,,,,,,
14.99 tỷ,118 m²,4,4,Sổ hồng,3,8 m,14 m,Đang ở,,,,,,
2.55 tỷ,67 m²,2,1,Sổ hồng,2,6.8 m,10 m,Đang ở,,,,,,
5.3 tỷ,65 m²,,,Sổ hồng,3,6.4 m,11 m,Đang ở,,Mặt tiền,,7 m,Tây Nam,
6.4 tỷ,100 m²,4,4,Sổ hồng,3,3.3 m,25 m,Đang ở,,,,,,
6.4 tỷ,85 m²,4,4,Sổ hồng,3,3.3 m,25 m,Đang ở,,,,,,
3.8 tỷ,54 m²,3,3,Sổ đỏ,2,4 m,13.5 m,Đang ở,,,,,,
7.5 tỷ,64 m²,5,5,Sổ hồng,4,4 m,16 m,Đang ở,,,,,,
4.55 tỷ,85 m²,4,2,Sổ đỏ,2,,,Đang ở,,,,,,
2.88 tỷ,54 m²,2,2,Sổ hồng,2,4 m,14 m,Đang ở,,,,,,
2.75 tỷ,54 m²,3,2,Sổ hồng,2,3.5 m,16 m,Nhà trống,,,,,,
2.49 tỷ,41 m²,1,2,Sổ hồng,2,4.4 m,9 m,Đang ở,,,,,,
3.15 tỷ,70 m²,2,1,Sổ đỏ,2,5 m,14 m,Nhà trống,,,,,,
1.75 tỷ,24 m²,2,1,Sổ đỏ,2,3.3 m,8 m,Nhà trống,,,,,,
2.75 tỷ,63 m²,3,3,Sổ đỏ,2,4.47 m,14 m,Đang ở,,,,,,
10 tỷ,100 m²,5,5,Sổ đỏ,5+,6 m,17 m,Đang ở,,,,,,
4.3 tỷ,51 m²,4,5,Sổ đỏ,4,5 m,10.2 m,Đang ở,,,,,,
9.8 tỷ,144 m²,4,4,Sổ đỏ,3,4.6 m,24 m,Đang ở,,,,,,
31 tỷ,265 m²,5,5,Sổ hồng,5+,8 m,31.5 m,Đang ở,,,,,,
4.2 tỷ,50 m²,3,2,Sổ hồng,3,3.5 m,15 m,Nhà trống,,,,,,
3.8 tỷ,98 m²,2,2,Sổ hồng,1,3.5 m,23 m,Đang ở,,,,,,
2.65 tỷ,63 m²,3,3,Sổ đỏ,2,5.5 m,11.4 m,Nhà trống,,,,,,
2.25 tỷ,47 m²,2,1,Sổ hồng,1,3.1 m,16 m,Nhà trống,,,,,,
2.49 tỷ,41 m²,1,2,Sổ hồng,2,4.4 m,9 m,Nhà trống,,,,,,
2.8 tỷ,46 m²,5,3,Hợp đồng mua bán,4,3.8 m,12 m,Nhà trống,,,,,,
7.8 tỷ,140 m²,1,1,Sổ hồng,1,4 m,35 m,Đang ở,,,,,,
4.15 tỷ,53 m²,3,3,Sổ hồng,3,11 m,5 m,Nhà trống,,,,,,
4.8 tỷ,69 m²,4,3,Sổ hồng,3,4.3 m,16 m,Đang ở,,,,,,
8.9 tỷ,85 m²,5,5,Sổ hồng,5+,9.3 m,9 m,Nhà trống,,,,,,
4.8 tỷ,69 m²,4,3,Sổ hồng,3,4.3 m,16 m,Đang ở,,,,,,
3.39 tỷ,60 m²,2,1,Sổ hồng,2,5 m,12 m,Nhà trống,,,,,,
12 tỷ,91 m²,3,3,Sổ hồng,3,4.3 m,19 m,Nhà trống,,,,,,
4.8 tỷ,75 m²,2,2,Sổ hồng,2,5 m,15 m,Đang ở,2020,Mặt tiền,Đã qua sử dụng,5.5 m,Tây,Nhà cấp 3
4.7 tỷ,88 m²,,,Sổ đỏ,,5 m,17.5 m,Nhà trống,,,,,,
2.88 tỷ,98 m²,3,3,Sổ đỏ,1,,,Đang ở,,,,,,
4.6 tỷ,56 m²,3,4,Sổ hồng,4,4.4 m,12 m,Nhà trống,,,,,,
2.3 tỷ,75 m²,3,3,Sổ hồng,1,5 m,12 m,Nhà trống,,,,,,
2.3 tỷ,75 m²,3,3,Sổ hồng,1,5 m,12 m,Đang ở,,,,,,
12.5 tỷ,560 m²,5,5,Sổ hồng,2,20 m,28 m,Nhà trống,,,,,,
4.6 tỷ,56 m²,3,4,Sổ hồng,4,4.4 m,12 m,Nhà trống,,,,,,
10.4 tỷ,134 m²,,,Sổ đỏ,2,,,Nhà trống,,,,,,
3.39 tỷ,58 m²,3,2,Sổ đỏ,2,5 m,12 m,Nhà trống,,,,,,
4.85 tỷ,72 m²,3,3,Sổ đỏ,3,4.5 m,16 m,Nhà trống,,,,,,
3.68 tỷ,89 m²,2,2,Sổ đỏ,2,5 m,17 m,Đang ở,,,,,,
2.75 tỷ,62 m²,3,2,Sổ hồng,2,45 m,14 m,Đang ở,,,,,,
5.45 tỷ,55 m²,4,3,Sổ đỏ,2,3.7 m,15 m,Nhà trống,,,,,,
1.58 tỷ,28 m²,2,2,Sổ hồng,2,3.1 m,9 m,Đang ở,,,,,,
3.5 tỷ,120 m²,3,4,Sổ hồng,3,4.1 m,16 m,Đang ở,,,,,,
8.9 tỷ,86 m²,5,5,Sổ hồng,5+,9.3 m,9 m,Đang ở,,,,,,
3.2 tỷ,35 m²,2,2,Sổ hồng,2,5 m,7 m,Đang ở,,,,,,
3.5 tỷ,120 m²,3,4,Sổ hồng,3,4.1 m,16 m,Nhà trống,,,,,,
6.65 tỷ,85 m²,3,4,Sổ đỏ,3,5 m,17 m,Nhà trống,,,,,,
3.75 tỷ,50 m²,3,3,Sổ hồng,3,4 m,12 m,Nhà trống,,,,,,
5.7 tỷ,99 m²,4,5,Sổ hồng,4,5.5 m,18 m,Đang ở,,,,,,
13.9 tỷ,60 m²,4,3,Sổ đỏ,3,4.5 m,14 m,Đang ở,,,,,,
3.1 tỷ,64 m²,3,2,Sổ hồng,3,4 m,15 m,Nhà trống,,,,,,
4.85 tỷ,72 m²,3,3,Sổ đỏ,3,4.5 m,16 m,Nhà trống,,,,,,
3.39 tỷ,58 m²,3,2,Sổ đỏ,2,5 m,12 m,Nhà trống,,,,,,
3.85 tỷ,60 m²,3,4,Sổ đỏ,3,8 m,6 m,Đang ở,,,,,,
8.7 tỷ,87 m²,5,5,Sổ hồng,5+,16 m,5.4 m,Nhà trống,,,,,,
1.69 tỷ,27 m²,3,2,Sổ hồng,3,4.7 m,6 m,Nhà trống,,,,,,
4.09 tỷ,100 m²,3,4,Sổ đỏ,3,5 m,10 m,Đang ở,,,,,,
3.89 tỷ,180 m²,,,Sổ đỏ,,,,Đang ở,,,,,,
3.45 tỷ,65 m²,3,1,Sổ hồng,1,3.5 m,18 m,Đang ở,,,,,,
3.6 tỷ,90 m²,2,1,Sổ hồng,1,10 m,9 m,Nhà trống,,,,,,
7.98 tỷ,100 m²,7,7,Sổ hồng,4,5 m,,Đang ở,2021,,,55.5 m,Tây Nam,Biệt thự
3.5 tỷ,43 m²,3,3,Sổ đỏ,3,4 m,10.7 m,Nhà trống,,,,,,
5.6 tỷ,80 m²,3,2,Sổ hồng,2,4.2 m,18.8 m,Đang ở,,,,,,
2.19 tỷ,31 m²,3,2,Sổ hồng,2,5 m,6.1 m,Nhà trống,,,,,,
5.7 tỷ,99 m²,4,5,Sổ hồng,4,5.5 m,18 m,Nhà trống,,,,,,
4.35 tỷ,85 m²,4,2,Sổ hồng,2,5 m,17 m,Đang ở,,,,,,
3.09 tỷ,61 m²,3,2,Sổ hồng,2,4 m,15 m,Nhà trống,,,,,,
7.5 tỷ,80 m²,3,3,Sổ đỏ,3,5 m,16 m,Đang ở,,,,,,
2.65 tỷ,42 m²,2,2,Sổ hồng,2,4.8 m,8 m,Nhà trống,,,,,,
3.85 tỷ,41 m²,3,3,Sổ hồng,3,4.5 m,9.8 m,Đang ở,,,,,,
8.9 tỷ,85 m²,5,5,Sổ hồng,5+,9.3 m,9 m,Nhà trống,,,,,,
5.6 tỷ,55 m²,5,5,Sổ hồng,5+,5.5 m,10 m,Nhà trống,,,,,,
5.6 tỷ,55 m²,5,5,Sổ hồng,5+,5.5 m,10 m,Nhà trống,,,,,,
100 tỷ,460 m²,5,5,Sổ đỏ,5+,22 m,23 m,Đang ở,,,,,,
4.35 tỷ,85 m²,4,2,Sổ hồng,2,5 m,17 m,Nhà trống,,,,,,
4.4 tỷ,120 m²,3,2,Sổ hồng,2,5 m,24 m,Đang ở,,,,,,
22.5 tỷ,125 m²,5,5,Sổ hồng,5+,5 m,25 m,Nhà trống,,,,,,
26.5 tỷ,90 m²,5,5,Sổ đỏ,5+,5 m,18 m,Nhà trống,,,,,,
26.5 tỷ,90 m²,5,5,Sổ đỏ,5+,5 m,18 m,Đang ở,,,,,,
2.8 tỷ,65 m²,3,2,Sổ hồng,2,5 m,12.5 m,Đang ở,,,,,,
25 tỷ,101 m²,5,5,Sổ hồng,5+,5 m,20 m,Nhà trống,,,,,,
13.5 tỷ,80 m²,5,5,Sổ hồng,5+,5 m,16 m,Nhà trống,,,,,,
2.8 tỷ,65 m²,3,2,Sổ hồng,2,5 m,12.5 m,Nhà trống,,,,,,
2.15 tỷ,33 m²,2,2,Sổ hồng,2,3.6 m,9.2 m,Đang ở,,,,,,
54 tỷ,345 m²,5,5,Sổ đỏ,5+,15 m,23 m,Nhà trống,,,,,,
5.7 tỷ,85 m²,4,3,Sổ hồng,3,5 m,17 m,Đang ở,,,,,,
2.15 tỷ,33 m²,2,2,Sổ hồng,2,3.6 m,9.2 m,Đang ở,,,,,,
2.79 tỷ,54 m²,3,2,Sổ hồng,3,4 m,13 m,Nhà trống,,,,,,
7.4 tỷ,143 m²,5,5,Sổ đỏ,2,5 m,28.5 m,Nhà trống,,,,,,
5.7 tỷ,85 m²,4,3,Sổ hồng,3,5 m,17 m,Nhà trống,,,,,,
1.65 tỷ,30 m²,2,1,Sổ hồng,2,3 m,10 m,Đang ở,,,,,,
1.65 tỷ,30 m²,2,1,Sổ hồng,2,3 m,10 m,Đang ở,,,,,,
3.65 tỷ,131 m²,3,3,Sổ đỏ,3,5 m,26 m,Nhà trống,,,,,,
2.59 tỷ,54 m²,3,3,Sổ đỏ,2,4.5 m,12 m,Đang ở,,,,,,
13.9 tỷ,60 m²,3,3,Sổ hồng,3,4.5 m,13.4 m,Nhà trống,,,,,,
3.25 tỷ,64 m²,3,3,Sổ đỏ,3,8.2 m,7.8 m,Nhà trống,,,,,,
9.95 tỷ,200 m²,5,5,Sổ hồng,4,20 m,10 m,Nhà trống,,,,,,
13.9 tỷ,60 m²,3,3,Sổ hồng,3,4.5 m,13.4 m,Đang ở,,,,,,
2.15 tỷ,47 m²,2,1,Sổ hồng,2,3.7 m,15 m,Đang ở,,,,,,
22.5 tỷ,125 m²,5,5,Sổ hồng,5+,5 m,25 m,Đang ở,,,,,,
2.45 tỷ,44 m²,2,2,Sổ hồng,2,6.5 m,7 m,Nhà trống,,,,,,
5.1 tỷ,73 m²,4,3,Sổ hồng,3,8 m,9 m,Đang ở,,,,,,
28.5 tỷ,350 m²,5,5,Sổ hồng,4,8.4 m,42 m,Đang ở,,,,,,
12.9 tỷ,184 m²,5,5,Sổ đỏ,4,5.25 m,35 m,Nhà trống,,,,,,
2.42 tỷ,72 m²,2,1,Sổ hồng,1,4.1 m,18 m,Nhà trống,,,,,,
22.5 tỷ,125 m²,5,5,Sổ hồng,5+,5 m,25 m,Đang ở,,,,,,
1.95 tỷ,35 m²,2,2,Sổ hồng,2,3.1 m,10.5 m,Nhà trống,,,,,,
3.6 tỷ,57 m²,3,4,Sổ đỏ,3,,,Đang ở,,,,,,
1.75 tỷ,150 m²,2,1,Sổ hồng,1,10 m,15 m,,,,,5 m,,
6.69 tỷ,85 m²,4,4,Sổ hồng,3,3.3 m,25 m,Nhà trống,,,,,,
3.39 tỷ,59 m²,2,1,Sổ hồng,2,5.2 m,12 m,Đang ở,,,,,,
2.59 tỷ,41 m²,2,2,Sổ hồng,2,4.5 m,8 m,Nhà trống,,,,,,
1.6 tỷ,25 m²,1,1,Sổ hồng,2,3.2 m,8 m,Nhà trống,,,,,,
9.8 tỷ,50 m²,5,5,Sổ hồng,5+,4.3 m,11 m,Nhà trống,,,,,,
5.1 tỷ,65 m²,2,2,Sổ hồng,1,5 m,13 m,Đang ở,,,,,,
5 tỷ,58 m²,3,3,Sổ hồng,3,7 m,8.5 m,Đang ở,,,,,,
14.5 tỷ,129 m²,3,4,Sổ đỏ,3,7 m,18.4 m,Đang ở,,,,,,
7.5 tỷ,6 m²,,,Sổ đỏ,1,13 m,,Đang ở,,,,,,
1.88 tỷ,40 m²,2,2,Sổ hồng,2,8 m,5 m,Đang ở,,,,,,
4.89 tỷ,72 m²,4,4,Sổ đỏ,3,4.5 m,16 m,Nhà trống,,,,,,
3.6 tỷ,88 m²,3,3,Sổ đỏ,2,5 m,17.5 m,Đang ở,,,,,,
21 tỷ,135 m²,4,5,Sổ hồng,3,8.8 m,14 m,Nhà trống,,,,,,
4.75 tỷ,63 m²,2,1,Sổ hồng,1,4.8 m,13.5 m,Nhà trống,,,,,,
14.6 tỷ,170 m²,5,5,Sổ hồng,3,10 m,17 m,Đang ở,,,,,,
5.3 tỷ,100 m²,4,4,Sổ đỏ,1,5 m,20 m,Đang ở,,,,,,
10.5 tỷ,115 m²,5,5,Sổ hồng,5+,5 m,23 m,Đang ở,,,,,,
2.55 tỷ,67 m²,2,1,Sổ hồng,2,6.8 m,10 m,Đang ở,,,,,,
2.05 tỷ,31 m²,2,2,Sổ hồng,2,3 m,10 m,Đang ở,,,,,,
55 tỷ,385 m²,5,,Sổ đỏ,3,11.2 m,35 m,Nhà trống,,,,,,
18 tỷ,107 m²,3,2,Sổ đỏ,3,5 m,21 m,Nhà trống,,,,,,
6.25 tỷ,100 m²,3,2,Sổ đỏ,2,5 m,20 m,Đang ở,,,,,,
6.25 tỷ,100 m²,3,2,Sổ đỏ,2,5 m,20 m,Nhà trống,,,,,,
4.1 tỷ,66 m²,3,2,Sổ hồng,3,4 m,16.5 m,Đang ở,,,,,,
1.55 tỷ,20 m²,2,1,Sổ hồng,2,4 m,5 m,Đang ở,,,,,,
6.1 tỷ,100 m²,3,2,Sổ hồng,2,7 m,14.5 m,Nhà trống,,,,,,
3.29 tỷ,54 m²,2,2,Sổ hồng,2,4.8 m,11 m,Đang ở,,,,,,
3.6 tỷ,50 m²,2,2,Sổ hồng,2,4.3 m,12.7 m,Nhà trống,,,,,,
3 tỷ,96 m²,3,2,Sổ hồng,2,5 m,19.5 m,Đang ở,,,,,,
18 tỷ,108 m²,3,3,Sổ hồng,3,5 m,21 m,Đang ở,,,,,,
1.88 tỷ,40 m²,2,2,Sổ hồng,2,8 m,5 m,Đang ở,,,,,,
8.95 tỷ,5 m²,4,3,Sổ đỏ,3,6 m,15.5 m,Đang ở,,,,,,
4.6 tỷ,56 m²,3,3,Sổ đỏ,3,6 m,,Đang ở,,,,,,
9.9 tỷ,65 m²,4,4,Sổ hồng,3,5 m,13 m,Nhà trống,,,,,,
8.95 tỷ,92 m²,3,3,Sổ đỏ,3,6 m,15.5 m,Nhà trống,,,,,,
3.29 tỷ,35 m²,2,2,Sổ hồng,3,5 m,7 m,Đang ở,,,,,,
4.1 tỷ,66 m²,3,2,Sổ hồng,3,4 m,16.5 m,Đang ở,,,,,,
4.2 tỷ,72 m²,2,1,Sổ hồng,1,4.5 m,16 m,Nhà trống,,,,,,
1.63 tỷ,42 m²,2,1,Sổ hồng,1,5 m,8.1 m,Nhà trống,,,,,,
6.95 tỷ,100 m²,4,4,Sổ đỏ,3,5 m,20 m,Nhà trống,,,,,,
62 tỷ,140 m²,5,5,Sổ đỏ,5+,7 m,20 m,Nhà trống,,,,,,
8.5 tỷ,80 m²,3,4,Sổ đỏ,4,5 m,18 m,Đang ở,,,,,,
9.95 tỷ,95 m²,3,3,Sổ hồng,2,5 m,19.4 m,Đang ở,,,,,,
6.59 tỷ,95 m²,3,3,Sổ hồng,3,5 m,19 m,Đang ở,,,,,,
2.09 tỷ,45 m²,2,2,Sổ hồng,2,4 m,11 m,Nhà trống,,,,,,
18.9 tỷ,230 m²,5,5,Sổ hồng,3,8 m,20 m,Đang ở,,,,,,
13.5 tỷ,64 m²,3,2,Sổ đỏ,3,1 m,1 m,Nhà trống,,,,,,
2.48 tỷ,62 m²,2,2,Sổ hồng,2,5.5 m,11 m,Đang ở,,,,,,
13.5 tỷ,64 m²,3,2,Sổ đỏ,3,1 m,1 m,Nhà trống,,,,,,
4.3 tỷ,88 m²,2,2,Sổ hồng,1,7 m,12.5 m,Nhà trống,,,,,,
20.5 tỷ,132 m²,5,5,Sổ hồng,5+,5 m,26 m,Đang ở,,,,,,
3.29 tỷ,54 m²,2,2,Sổ hồng,2,4.8 m,11 m,Nhà trống,,,,,,
2.09 tỷ,45 m²,2,2,Sổ hồng,2,4 m,11 m,Đang ở,,,,,,
2.55 tỷ,60 m²,2,1,Sổ đỏ,1,5 m,12 m,Nhà trống,,,,,,
9.99 tỷ,96 m²,3,3,Sổ hồng,2,5 m,19.5 m,Nhà trống,,,,,,
3.2 tỷ,50 m²,3,2,Sổ hồng,3,4.2 m,14 m,Đang ở,,,,,,
5.5 tỷ,50 m²,2,2,Sổ hồng,2,4.3 m,14 m,Nhà trống,,,,,,
2.55 tỷ,60 m²,2,2,Sổ hồng,2,5 m,12 m,Nhà trống,,,,,,
2.45 tỷ,70 m²,2,2,Sổ hồng,2,4.5 m,14.7 m,Nhà trống,,,,,,
9.5 tỷ,108 m²,5,5,Sổ hồng,4,6.5 m,17 m,Nhà trống,,,,,,
10.9 tỷ,90 m²,5,5,Sổ hồng,5+,4 m,22.2 m,Đang ở,,,,,,
9.99 tỷ,120 m²,3,4,Sổ hồng,3,6 m,20 m,Nhà trống,,,,,,
2.39 tỷ,47 m²,3,2,Sổ hồng,2,4 m,12 m,Nhà trống,,,,,,
5.76 tỷ,80 m²,3,4,Sổ hồng,3,4.5 m,18 m,Nhà trống,,,,,,
3.2 tỷ,50 m²,3,2,Sổ hồng,3,4.2 m,14 m,Nhà trống,,,,,,
13 tỷ,92 m²,5,5,Sổ hồng,5+,5 m,18.3 m,Đang ở,,,,,,
12.5 tỷ,122 m²,5,5,Sổ hồng,5+,7 m,18 m,Đang ở,,,,,,
14.5 tỷ,129 m²,3,4,Sổ đỏ,3,7 m,18.4 m,Đang ở,,,,,,
39.5 tỷ,258 m²,3,2,Sổ đỏ,3,10 m,25.8 m,Đang ở,,,,,,
39.5 tỷ,258 m²,3,2,Sổ đỏ,3,10 m,25.8 m,Nhà trống,,,,,,
2.35 tỷ,70 m²,3,2,Sổ đỏ,2,4.5 m,16 m,Đang ở,,,,,,
3.58 tỷ,67 m²,3,3,Sổ đỏ,3,5 m,13 m,Đang ở,,,,,,
4.25 tỷ,70 m²,3,4,Sổ hồng,2,4.8 m,14.8 m,Nhà trống,,,,,,
3.2 tỷ,50 m²,3,2,Sổ hồng,3,4.2 m,14 m,Nhà trống,,,,,,
6.79 tỷ,100 m²,4,4,Sổ hồng,3,3.3 m,30 m,Đang ở,,,,,,
4.3 tỷ,66 m²,2,2,Sổ đỏ,2,4.4 m,15.4 m,Đang ở,,,,,,
6.5 tỷ,100 m²,5,5,Sổ đỏ,4,5 m,20 m,Đang ở,,,,,,
3.39 tỷ,60 m²,2,1,Sổ hồng,2,5 m,12 m,Nhà trống,,,,,,
6.79 tỷ,100 m²,4,4,Sổ hồng,3,3.3 m,30 m,Đang ở,,,,,,
3.8 tỷ,56 m²,3,2,Sổ đỏ,2,4.1 m,13 m,Nhà trống,,,,,,
9.7 tỷ,58 m²,3,3,Sổ hồng,3,,,Nhà trống,,,,,,
1.52 tỷ,96 m²,2,1,Sổ hồng,1,5 m,19 m,,,,,3 m,,
1.78 tỷ,43 m²,2,2,Sổ hồng,2,4 m,11 m,Đang ở,,,,,,
6.7 tỷ,55 m²,3,3,Sổ hồng,3,4 m,14 m,Đang ở,,,,,,
3.05 tỷ,77 m²,2,1,Sổ đỏ,1,7 m,11.1 m,Nhà trống,,,,,,
9.5 tỷ,150 m²,1,1,Sổ hồng,1,6 m,26 m,Đang ở,,,,,,
